Team,Date,Score,Score adjusted,Score with region multiplier
LNG Esports,2/23/2024 11:18,-13.66207839,16.38073204,29911.21671
Top Esports,2/23/2024 11:18,10.76344935,40.80625978,74512.23036
Hanwha Life Esports,2/23/2024 11:49,20.88112765,50.92393808,95380.53602
Top Esports,2/23/2024 12:06,23.99225062,54.03506105,98668.02148
LNG Esports,2/23/2024 12:06,-18.77554657,11.26726386,20574.02381
Hanwha Life Esports,2/23/2024 12:37,28.17423909,58.21704952,109040.5338
T1,2/24/2024 6:06,20.02048778,50.06329821,93768.55755
T1,2/24/2024 7:00,18.73600263,48.77881306,91362.71686
Gen.G,2/24/2024 8:41,21.7424105,51.78522093,96993.7188
Gen.G,2/24/2024 9:37,0.543780416,30.58659085,57288.68465
Bilibili Gaming,2/24/2024 11:19,20.42734766,50.47015809,92158.50867
PSG Talon,2/24/2024 11:24,24.14752882,54.19033925,46766.26277
Bilibili Gaming,2/24/2024 12:24,-8.176141928,21.8666685,39928.53668
PSG Talon,2/24/2024 12:24,21.47543265,51.51824308,44460.24378
Vikings Esports,2/24/2024 12:25,2.798311833,32.84112226,27553.70158
Vikings Esports,2/24/2024 13:30,1.177187996,31.21999843,26193.57868
Bilibili Gaming,2/24/2024 13:32,4.684637896,34.72744833,63412.32064
paiN Gaming,2/24/2024 16:15,-1.328105926,28.7147045,18205.12266
Dplus KIA,2/25/2024 6:07,34.38038098,64.42319141,120664.6375
Dplus KIA,2/25/2024 8:08,-15.6087414,14.43406903,27035.01129
Fukuoka SoftBank HAWKS gaming,2/25/2024 9:19,22.69552774,52.73833817,45513.18584
Weibo Gaming,2/25/2024 9:40,10.74538502,40.78819545,74479.24489
GAM Esports,2/25/2024 10:06,13.74669841,43.78950884,36739.39792
Fukuoka SoftBank HAWKS gaming,2/25/2024 10:12,30.4767504,60.51956083,52228.381
Weibo Gaming,2/25/2024 10:23,-6.677780695,23.36502974,42664.5443
Fukuoka SoftBank HAWKS gaming,2/25/2024 11:03,29.43660881,59.47941924,51330.7388
GAM Esports,2/25/2024 11:06,27.14252772,57.18533815,47978.49871
Weibo Gaming,2/25/2024 11:11,-23.65219783,6.3906126,11669.25861
LNG Esports,2/25/2024 11:21,19.14827404,49.19108447,89822.92024
Dplus KIA,2/25/2024 11:29,20.78524125,50.82805168,95200.9408
LNG Esports,2/25/2024 12:28,-0.437100139,29.60571029,54060.02699
LNG Esports,2/25/2024 13:18,-5.554892587,24.48791784,44714.93798
paiN Gaming,2/25/2024 19:54,6.432166233,36.47497666,23125.1352
Top Esports,2/26/2024 9:16,21.58210507,51.6249155,94267.0957
Top Esports,2/26/2024 10:08,-17.5553448,12.48746563,22802.11224
Top Esports,2/26/2024 10:56,1.664336815,31.70714725,57897.25087
Bilibili Gaming,2/27/2024 9:16,18.49096497,48.5337754,88622.67388
Bilibili Gaming,2/27/2024 10:12,15.42306389,45.46587432,83020.68651
Movistar R7,2/27/2024 23:56,18.24613765,48.28894808,28152.45673
Movistar R7,2/28/2024 0:52,28.44922613,58.49203656,34100.85731
