league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LCS,1/28/2024 21:55,1,bot,Massu,FlyQuest,Varus,1712,0,4,6,2,1,0.666666667,0,0,0,526.6822,0.28211,576.5537,0.3855,0.2103,0.771,0.2265,6.729
LCS,1/28/2024 22:51,1,bot,Yeon,Team Liquid,Aphelios,2243,1,5,1,5,10,0.714285714,0,0,0,683.8609,0.290465,212.1801,0.3745,0.2942,0.8827,0.243497,9.2287
LPL,1/29/2024 11:19,1,bot,Elk,Bilibili Gaming,Lucian,2259,1,6,3,8,4.666666667,0.777777778,0,1,,1067.012,0.429694,584.834,1.1155,0.6906,2.7888,0.261104,8.2603
LPL,1/29/2024 12:17,2,bot,Elk,Bilibili Gaming,Lucian,1600,1,6,1,6,12,0.75,0,,,968.2125,0.417344,414.15,0.975,0.45,2.2125,0.26293,8.1375
LEC,1/29/2024 17:58,1,bot,Noah,Fnatic,Kalista,1926,1,6,1,10,16,0.666666667,0,0,0,415.2025,0.170843,389.5327,0.4673,0.2804,1.215,0.245197,9.6262
LEC,1/29/2024 18:55,1,bot,Hans Sama,G2 Esports,Aphelios,1676,1,7,0,7,14,0.777777778,0,1,0,630,0.270049,176.4916,0.4654,0.2148,1.3246,0.256536,9.7017
LEC,1/29/2024 20:01,1,bot,Supa,MAD Lions KOI,Xayah,1940,1,8,0,8,16,0.727272727,0,1,0,676.268,0.307759,464.4433,0.6804,0.3711,1.1443,0.287367,9
LCK,1/31/2024 8:08,1,bot,Aiming,Dplus KIA,Lucian,2316,0,1,3,1,0.666666667,0.333333333,0,0,0,664.2228,0.288753,483.0311,1.0881,0.9326,3.8342,0.273682,9.3005
LCK,1/31/2024 9:10,2,bot,Aiming,Dplus KIA,Kog'Maw,1900,0,1,2,1,1,0.5,1,0,0,560.3368,0.356735,554.4947,1.4842,0.5684,2.8421,0.240079,7.9895
LLA,1/31/2024 23:56,1,bot,Ceo,Movistar R7,Kalista,1696,1,5,0,5,10,0.588235294,0,0,0,497.2288,0.191888,415.7547,0.5307,0.2476,1.4151,0.246395,9.4104
LCK,2/1/2024 8:05,1,bot,Gumayusi,T1,Lucian,1745,1,4,1,8,12,0.705882353,0,0,1,842.0974,0.303475,528.7908,1.0315,0.5158,2.3037,0.244448,8.5616
